fullName;shortName;circleColor;shadeColor;emoji
Nathalie Arthaud;Arthaud;#c46283;#c46283;🟪
Philippe Poutou;Poutou;#8e2f2f;#8e2f2f;🟪
Fabien Roussel;Roussel;#dd00dd;#dd00dd;🟪
Jean-Luc Mélenchon;Mélenchon;#cc2443;#cc2443;🟪
Yannick Jadot;Jadot;#00c000;#00c000;🟩
Marine Tondelier;Tondelier;#00c000;#00c000;🟩
Anne Hidalgo;Hidalgo;#ff8080;#ff8080;🟥
Olivier Faure;Faure;#ff8080;#ff8080;🟥
Benoît Hamon;Hamon;#ff8080;#ff8080;🟥
Emmanuel Macron;Macron;#ffeb00;#ffeb00;🟨
Bruno Le Maire;Le Maire;#ffeb00;#ffeb00;🟨
Gérald Darmanin;Darmanin;#ffeb00;#ffeb00;🟨
François Bayrou;Bayrou;#ff9900;#ff9900;🟨
Édouard Philippe;Philippe;#0001B8;#0001B8;🟨
Valérie Pécresse;Pécresse;#0066cc;#0066cc;🟦
Laurent Wauquiez;Wauquiez;#0066cc;#0066cc;🟦
Nicolas Dupont-Aignan;Dupont-Aignan;#8040c0;#8040c0;⬛
Marine Le Pen;Le Pen;#475e88;#475e88;⬛
Jean Lassalle;Lassalle;#93a4d7;#93a4d7;🟫
Florian Philippot;Philippot;#404040;#404040;🟫
Éric Zemmour;Zemmour;#5B3C11;#5B3C11;🟫
François Asselineau;Asselineau;#118088;#118088;🟫
Jacques Cheminade;Cheminade;#eaba47;#eaba47;🟧
